sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,age_bucket,imc_cat
H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1788,marié,,0.9,2025-05-21,461.0,10000.0,500.0,jeune,insuffisant
F,oui,master,Corse,non,non,2125,divorcé,,0.93,2021-10-06,786.0,10000.0,500.0,adulte,surpoids
F,non,bac+2,Île-de-France,oui,oui,1389,célibataire,1.0,0.6,2021-06-04,,793.17,1366.7152302536567,jeune,insuffisant
F,oui,aucun,Corse,oui,oui,2850,marié,,0.89,2021-01-30,,10000.0,500.0,adulte,obese
F,oui,master,Corse,oui,non,1809,veuf,4.0,0.28,2025-03-16,763.0,5000.0,500.0,jeune,surpoids
H,oui,master,Auvergne-Rhône-Alpes,oui,non,4370,marié,,0.15,2024-06-05,804.0,10000.0,7915.101090898372,jeune,surpoids
F,oui,master,Bretagne,oui,oui,4778,,0.0,0.4,2021-06-23,,,28396.908742389693,jeune,insuffisant
H,non,doctorat,Île-de-France,oui,oui,725,veuf,,0.8,2025-04-18,,10000.0,18632.93584235897,retraite,obese
F,non,aucun,Île-de-France,oui,non,2124,célibataire,,0.53,2023-03-18,511.0,5000.0,500.0,jeune,surpoids
H,non,bac,Normandie,non,oui,3422,,,0.6,2020-01-07,640.0,,14326.37709078331,senior,surpoids
F,non,bac,Hauts-de-France,oui,oui,3838,,2.0,0.5,2022-08-27,,5000.0,500.0,senior,normal
H,oui,aucun,Hauts-de-France,oui,oui,660,célibataire,,0.64,2024-12-25,499.0,,500.0,jeune,surpoids
F,non,master,Île-de-France,non,oui,2071,veuf,3.0,0.6,2021-05-20,,10000.0,16528.519173978777,retraite,normal
H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2714,marié,,0.88,2023-03-27,734.0,10000.0,4704.9737016730005,retraite,insuffisant
F,oui,bac,Occitanie,non,oui,2783,veuf,1.0,0.83,2021-04-30,357.0,577.66,12733.330382969947,adulte,normal
F,non,bac,Auvergne-Rhône-Alpes,oui,oui,1788,divorcé,,0.56,2024-11-01,726.0,5000.0,10540.674784050036,senior,surpoids
H,oui,master,Hauts-de-France,oui,oui,2600,divorcé,5.0,0.98,2025-05-12,,5000.0,6156.501558240514,adulte,normal
H,non,doctorat,Occitanie,oui,non,3008,célibataire,4.0,0.05,2024-07-23,484.0,,500.0,jeune,obese
F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,500,célibataire,0.0,0.4,2024-05-08,805.0,5000.0,500.0,jeune,obese
F,oui,doctorat,Hauts-de-France,oui,oui,3695,marié,,0.17,2022-04-26,777.0,5000.0,22775.8955135935,jeune,surpoids
F,oui,doctorat,Hauts-de-France,oui,oui,3304,marié,,0.28,2025-01-08,497.0,5000.0,8853.723228062805,retraite,normal
H,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,897,célibataire,,0.05,2025-05-15,,5000.0,11778.343548052928,adulte,insuffisant
F,oui,master,Île-de-France,non,oui,4278,célibataire,5.0,0.7,2022-01-12,455.0,10000.0,31072.702663736723,retraite,normal
H,non,master,Provence-Alpes-Côte d’Azur,non,oui,3072,célibataire,,0.56,2022-01-23,373.0,,21531.409941811824,adulte,surpoids
H,non,aucun,Occitanie,oui,oui,2537,divorcé,0.0,0.97,2025-04-03,,10000.0,500.0,adulte,normal
F,non,master,Auvergne-Rhône-Alpes,non,non,4525,veuf,2.0,0.81,2024-12-10,761.0,949.24,10946.391315339892,adulte,surpoids
H,non,master,Bretagne,non,non,1295,veuf,,0.52,2020-05-02,,,500.0,jeune,obese
F,oui,doctorat,Occitanie,oui,non,1859,célibataire,4.0,0.02,2021-10-06,,547.03,500.0,retraite,normal
H,oui,bac+2,Hauts-de-France,oui,oui,1566,célibataire,5.0,0.28,2020-05-22,418.0,,1992.4825524566772,adulte,normal
F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3929,marié,5.0,0.4,2025-05-29,506.0,,15002.912094814255,senior,obese
H,oui,aucun,Bretagne,oui,non,3770,divorcé,,0.4,2022-11-08,,,500.0,adulte,obese
H,oui,aucun,Corse,oui,non,4747,marié,,0.12,2020-11-04,400.0,5000.0,500.0,retraite,normal
H,non,master,Normandie,oui,oui,3214,marié,2.0,0.82,2020-04-25,402.0,,10488.968596578909,adulte,normal
H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,4602,divorcé,,0.36,2025-02-04,,,28770.26971420019,retraite,surpoids
F,non,bac+2,Occitanie,non,non,3203,veuf,,0.12,2020-08-29,440.0,944.44,500.0,senior,normal
H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3865,célibataire,3.0,0.52,2024-07-06,,1128.66,37282.162849122215,retraite,surpoids
H,oui,aucun,Normandie,non,oui,1851,marié,2.0,0.67,2023-10-12,,348.33,10767.439217607673,senior,normal
H,oui,master,Occitanie,non,oui,1598,marié,,0.39,2024-06-24,321.0,10000.0,24759.669493278125,retraite,obese
F,non,aucun,Bretagne,non,oui,1770,veuf,3.0,0.83,2022-11-08,352.0,185.52,4161.441442592443,senior,normal
H,oui,master,Bretagne,non,oui,1083,marié,4.0,0.49,2022-01-29,,10000.0,20879.755904736496,adulte,obese
F,non,doctorat,Hauts-de-France,oui,oui,3127,,,0.17,2023-06-10,,5000.0,14801.426364952236,retraite,insuffisant
H,oui,bac,Normandie,oui,oui,3041,marié,1.0,0.66,2021-03-13,,627.58,11145.183005926978,adulte,insuffisant
F,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2741,divorcé,0.0,0.6,2022-07-22,573.0,,500.0,adulte,obese
F,oui,doctorat,Bretagne,oui,oui,3059,veuf,2.0,0.69,2022-02-05,,,28698.200373046937,senior,normal
F,oui,aucun,Hauts-de-France,oui,oui,2663,,2.0,0.51,2023-11-30,843.0,748.46,500.0,jeune,normal
H,non,doctorat,Occitanie,oui,oui,3361,marié,,0.65,2020-08-18,,10000.0,16872.53990370362,senior,normal
F,non,doctorat,Normandie,oui,non,2530,divorcé,,0.7,2024-02-29,454.0,10000.0,500.0,adulte,obese
H,oui,doctorat,Occitanie,non,oui,2660,veuf,,0.53,2020-03-04,837.0,926.62,37114.160550787055,adulte,surpoids
H,oui,doctorat,Normandie,non,oui,500,,4.0,0.97,2020-09-26,718.0,559.26,29358.17769561137,senior,surpoids
F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2023,marié,0.0,0.89,2023-01-16,,1032.32,500.0,,obese
H,non,bac+2,Corse,non,oui,904,marié,5.0,0.29,2021-08-15,561.0,1065.43,6712.726721442828,retraite,surpoids
H,non,doctorat,Île-de-France,non,non,568,veuf,4.0,0.51,2023-07-13,,10000.0,500.0,adulte,normal
F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3624,veuf,0.0,0.21,2025-04-01,,1073.5,500.0,jeune,normal
F,oui,master,Occitanie,non,oui,2285,marié,,0.07,2021-09-27,,5000.0,24341.03004691129,jeune,normal
H,non,master,Île-de-France,oui,oui,1823,veuf,0.0,0.26,2024-02-06,,5000.0,9958.305010076558,retraite,obese
F,oui,aucun,Bretagne,non,oui,2040,,3.0,0.29,2022-10-18,521.0,10000.0,15699.8867602253,adulte,normal
H,non,aucun,Occitanie,oui,non,1059,célibataire,,0.72,2022-11-28,,-19.16,500.0,jeune,normal
F,non,bac+2,Bretagne,non,oui,2321,marié,1.0,0.53,2021-12-25,,5000.0,15785.751255071553,adulte,normal
F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,5481,divorcé,,0.08,2024-12-09,307.0,5000.0,22240.901666635506,jeune,normal
H,oui,bac,Auvergne-Rhône-Alpes,oui,non,3627,veuf,,0.77,2022-10-08,,,500.0,jeune,surpoids
F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1216,divorcé,1.0,0.79,2024-10-29,,5000.0,11292.029477601953,retraite,normal
H,oui,bac,Bretagne,oui,oui,1731,divorcé,2.0,0.25,2021-11-18,,5000.0,4529.690297241665,jeune,insuffisant
H,non,aucun,Occitanie,non,non,4762,,4.0,0.03,2023-05-04,396.0,1486.62,500.0,retraite,insuffisant
F,oui,bac+2,Hauts-de-France,non,oui,3480,divorcé,3.0,0.86,2020-02-22,,10000.0,17264.275901828485,adulte,normal
F,non,aucun,Auvergne-Rhône-Alpes,non,non,4463,marié,,0.15,2022-11-23,747.0,,500.0,,surpoids
F,non,doctorat,Île-de-France,non,oui,1668,divorcé,,0.83,2023-03-06,514.0,1149.82,25390.88273988203,,normal
H,non,bac,Bretagne,oui,oui,974,,,0.18,2022-06-05,,650.62,500.0,adulte,normal
F,non,master,Bretagne,oui,oui,1993,divorcé,3.0,0.47,2025-01-19,384.0,,1281.9229939424142,adulte,obese
H,non,aucun,Normandie,oui,oui,3359,célibataire,,0.58,2020-08-22,,,500.0,senior,obese
F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2863,,,0.34,2020-01-03,,1064.25,4124.384923241231,,surpoids
H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2217,veuf,3.0,0.59,2022-07-03,,5000.0,1703.2091550614111,senior,insuffisant
F,oui,master,Île-de-France,oui,oui,3603,marié,,0.34,2023-06-23,,,18161.86602584039,adulte,obese
F,non,doctorat,Corse,non,non,3097,marié,,0.83,2024-10-13,,5000.0,500.0,retraite,normal
H,non,bac+2,Normandie,non,non,2140,célibataire,3.0,0.09,2020-02-01,,798.03,500.0,adulte,normal
F,non,bac,Hauts-de-France,oui,oui,2777,divorcé,,0.32,2023-07-07,358.0,1172.07,500.0,retraite,normal
F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1075,,3.0,0.41,2020-01-04,,10000.0,10667.772211678155,senior,normal
H,non,aucun,Bretagne,non,oui,3619,,1.0,0.43,2023-01-15,,10000.0,13279.43790734672,adulte,normal
F,oui,bac+2,Corse,non,oui,2597,veuf,1.0,0.3,2023-11-03,,1552.97,14865.32774958236,adulte,normal
H,oui,aucun,Corse,non,oui,3152,célibataire,2.0,0.88,2020-03-12,,,2426.265552876417,jeune,normal
F,non,aucun,Bretagne,non,oui,3243,célibataire,,0.56,2021-02-03,483.0,522.19,500.0,jeune,insuffisant
H,oui,doctorat,Normandie,oui,oui,1484,,,0.25,2022-12-09,486.0,5000.0,17717.330429437272,senior,normal
H,oui,bac+2,Corse,non,oui,1797,divorcé,3.0,0.31,2024-03-11,,283.86,10146.957094539635,adulte,obese
H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2986,divorcé,0.0,0.74,2020-12-19,,5000.0,11837.808210233152,retraite,normal
F,oui,aucun,Bretagne,non,oui,1930,marié,3.0,0.32,2024-11-14,599.0,948.83,10379.81877962131,jeune,normal
H,non,aucun,Auvergne-Rhône-Alpes,non,oui,4771,veuf,0.0,0.47,2020-12-20,630.0,,19719.5017886146,retraite,normal
F,non,aucun,Occitanie,non,non,2600,marié,2.0,0.26,2023-09-09,,10000.0,500.0,senior,insuffisant
F,non,bac+2,Normandie,non,non,1878,divorcé,,0.93,2020-08-09,,,500.0,jeune,surpoids
H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4778,célibataire,0.0,0.64,2024-05-06,614.0,5000.0,8980.312053464007,retraite,surpoids
H,oui,bac,Île-de-France,oui,non,2248,célibataire,0.0,0.02,2023-04-30,,10000.0,500.0,retraite,obese
F,non,bac,Hauts-de-France,oui,oui,3039,,,0.92,2022-04-16,,883.63,500.0,adulte,obese
F,non,bac,Île-de-France,oui,non,1899,veuf,5.0,0.11,2020-10-18,342.0,,500.0,adulte,normal
H,non,aucun,Île-de-France,oui,non,3230,célibataire,,0.31,2024-09-03,,10000.0,500.0,adulte,insuffisant
H,oui,aucun,Île-de-France,non,oui,3789,divorcé,,0.68,2020-07-06,377.0,,18509.20677497533,senior,normal
H,oui,bac,Corse,non,oui,4207,célibataire,1.0,0.78,2023-06-04,718.0,,21549.82401911197,senior,surpoids
F,oui,bac,Île-de-France,oui,oui,1435,célibataire,,0.24,2021-08-07,304.0,,500.0,retraite,insuffisant
H,non,master,Corse,non,non,1861,,,0.78,2020-08-13,,5000.0,500.0,adulte,insuffisant
F,oui,bac+2,Occitanie,oui,non,1998,divorcé,3.0,0.59,2023-05-03,774.0,,500.0,retraite,normal
F,oui,doctorat,Normandie,oui,oui,602,veuf,4.0,0.35,2023-11-24,,10000.0,5428.047793885788,senior,insuffisant
F,oui,master,Normandie,oui,oui,3474,célibataire,4.0,0.71,2021-03-04,496.0,1278.27,16752.789752354092,adulte,surpoids
F,non,doctorat,Bretagne,non,oui,1908,marié,5.0,0.47,2024-12-22,318.0,5000.0,20423.84320730014,senior,surpoids
H,non,doctorat,Corse,oui,oui,1176,marié,0.0,0.32,2020-06-29,,,500.0,senior,normal
F,non,aucun,Hauts-de-France,oui,oui,3112,divorcé,,0.7,2020-12-18,822.0,623.38,500.0,adulte,normal
F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2377,veuf,,0.44,2022-05-18,646.0,5000.0,18901.259369115334,adulte,insuffisant
H,oui,doctorat,Île-de-France,oui,oui,4010,veuf,2.0,0.57,2025-05-28,,10000.0,40137.50246898064,senior,obese
H,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2448,veuf,,0.33,2020-03-25,,10000.0,500.0,senior,normal
F,non,bac+2,Île-de-France,oui,non,4319,célibataire,5.0,0.08,2020-01-27,,,500.0,adulte,normal
H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4897,veuf,0.0,0.27,2023-09-14,768.0,10000.0,35962.04802835945,adulte,surpoids
F,non,bac,Provence-Alpes-Côte d’Azur,non,non,4231,marié,2.0,0.06,2021-10-03,,5000.0,500.0,adulte,normal
H,non,doctorat,Normandie,oui,oui,2261,,,0.73,2023-01-13,762.0,734.6,24528.671120857394,retraite,normal
H,non,aucun,Hauts-de-France,oui,oui,645,veuf,4.0,0.03,2025-01-08,818.0,10000.0,500.0,jeune,obese
F,oui,master,Provence-Alpes-Côte d’Azur,non,non,3191,veuf,,0.74,2020-02-06,,10000.0,3639.7413556351794,jeune,surpoids
F,non,master,Bretagne,non,non,2452,marié,4.0,0.49,2023-12-18,380.0,,500.0,retraite,normal
H,oui,master,Île-de-France,non,oui,2571,,2.0,0.41,2020-04-15,,10000.0,33049.468422152735,senior,surpoids
F,non,bac+2,Hauts-de-France,non,oui,4154,célibataire,,0.76,2022-01-18,,5000.0,10656.8885958248,adulte,surpoids
F,oui,bac+2,Occitanie,non,non,969,marié,,0.02,2024-12-02,,731.72,500.0,jeune,insuffisant
H,non,bac,Île-de-France,oui,oui,3121,célibataire,1.0,0.72,2022-07-10,701.0,5000.0,7051.1771065952,jeune,normal
F,non,master,Occitanie,non,non,3384,divorcé,,0.65,2020-08-01,630.0,10000.0,500.0,jeune,surpoids
F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2285,célibataire,1.0,0.21,2020-12-16,792.0,10000.0,2724.919805153449,retraite,insuffisant
F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2483,,2.0,0.99,2025-02-20,666.0,33.29,26282.620988748466,jeune,normal
F,non,bac,Hauts-de-France,non,oui,2466,veuf,,0.16,2022-01-16,801.0,,5070.610961595275,retraite,surpoids
F,oui,doctorat,Bretagne,non,non,2684,veuf,,0.78,2021-12-04,,5000.0,15080.08702060483,retraite,normal
H,oui,aucun,Hauts-de-France,non,oui,4243,veuf,2.0,0.02,2022-08-19,359.0,10000.0,14306.900020371317,adulte,normal
F,non,bac,Occitanie,non,oui,2265,,,0.22,2024-04-12,,10000.0,6693.74203294808,adulte,surpoids
H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,3055,célibataire,,0.35,2020-06-15,385.0,,1798.0125221383746,jeune,obese
F,oui,doctorat,Île-de-France,non,non,1203,,,0.38,2024-06-03,,,10497.778053549608,adulte,surpoids
F,non,aucun,Corse,oui,non,4340,célibataire,2.0,0.7,2021-12-19,698.0,1004.67,500.0,retraite,obese
F,non,aucun,Corse,non,oui,1676,marié,,0.04,2022-08-24,657.0,10000.0,500.0,jeune,obese
H,oui,bac+2,Bretagne,oui,oui,531,divorcé,1.0,0.96,2020-12-17,,,500.0,jeune,insuffisant
H,non,bac+2,Bretagne,oui,oui,1733,,,0.64,2025-04-08,,1411.64,6372.475344505444,jeune,insuffisant
F,oui,bac,Île-de-France,non,oui,2743,divorcé,5.0,0.49,2021-08-07,,,16741.9804046619,adulte,obese
F,oui,doctorat,Occitanie,non,oui,500,veuf,2.0,0.23,2024-10-09,,,14504.604268333092,jeune,surpoids
H,non,bac+2,Corse,non,oui,1711,veuf,5.0,0.53,2022-06-10,,,500.0,senior,surpoids
F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,3193,,,0.07,2021-07-09,,,17151.38822035942,jeune,obese
H,non,doctorat,Hauts-de-France,oui,oui,3498,marié,,0.86,2023-01-15,335.0,459.59,12032.654325077505,senior,normal
H,oui,bac+2,Occitanie,non,oui,1882,veuf,5.0,0.2,2023-12-26,,,28685.37160497041,adulte,surpoids
F,non,bac,Hauts-de-France,oui,oui,1084,veuf,4.0,0.98,2024-08-11,820.0,10000.0,500.0,adulte,insuffisant
H,non,master,Hauts-de-France,non,non,2345,veuf,,0.86,2022-11-22,346.0,,500.0,retraite,surpoids
H,non,aucun,Occitanie,non,oui,2740,divorcé,4.0,0.1,2025-01-30,486.0,773.51,6726.144540197254,adulte,normal
H,oui,aucun,Bretagne,oui,non,1704,divorcé,,0.3,2021-06-17,,5000.0,500.0,senior,normal
F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,871,veuf,,0.47,2024-10-19,706.0,,500.0,senior,insuffisant
H,non,master,Hauts-de-France,non,oui,2589,veuf,,0.7,2021-10-27,,,20212.703427559845,retraite,normal
F,non,doctorat,Corse,oui,oui,1127,marié,,0.22,2025-06-04,830.0,,5504.582746306162,senior,normal
H,non,master,Hauts-de-France,non,oui,1526,,,0.49,2020-04-01,359.0,,8878.890939012841,retraite,normal
H,non,bac,Bretagne,non,non,1797,divorcé,1.0,0.04,2024-01-07,595.0,546.16,500.0,jeune,insuffisant
F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,2165,marié,1.0,0.84,2022-09-28,846.0,887.1,500.0,adulte,obese
F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2676,célibataire,,0.46,2025-04-03,,5000.0,10124.44495985712,retraite,normal
F,non,master,Bretagne,oui,oui,2107,divorcé,5.0,0.84,2022-12-03,,688.7,8921.973730630438,retraite,normal
H,non,doctorat,Corse,oui,oui,2063,divorcé,,0.38,2024-10-04,,854.72,6035.446018551712,adulte,surpoids
F,oui,master,Normandie,oui,oui,1290,divorcé,5.0,0.49,2022-07-21,331.0,10000.0,8255.660172817976,senior,normal
F,non,aucun,Bretagne,non,oui,1313,divorcé,,0.85,2025-02-09,805.0,1260.4,5083.612822428259,retraite,normal
F,non,aucun,Bretagne,oui,non,1029,marié,3.0,0.52,2021-10-29,,10000.0,500.0,senior,insuffisant
F,oui,aucun,Occitanie,non,oui,2362,divorcé,4.0,0.39,2023-04-26,491.0,5000.0,500.0,retraite,surpoids
F,oui,aucun,Corse,oui,oui,3735,divorcé,,0.4,2024-09-04,,,500.0,retraite,normal
F,non,bac,Île-de-France,non,non,2379,marié,,0.21,2023-04-28,487.0,,500.0,adulte,surpoids
H,non,master,Auvergne-Rhône-Alpes,non,oui,2170,célibataire,,0.15,2021-05-12,,902.3,16629.25199108691,retraite,insuffisant
F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,5826,marié,5.0,0.62,2024-12-15,,,29125.10607760429,retraite,surpoids
F,oui,doctorat,Hauts-de-France,non,oui,3353,,,0.86,2021-12-31,,,29651.483306242997,senior,obese
H,non,doctorat,Occitanie,oui,non,1599,,,0.35,2024-01-06,,5000.0,500.0,adulte,normal
H,oui,doctorat,Île-de-France,non,oui,1814,divorcé,,0.07,2023-10-19,,,38558.79613385785,adulte,insuffisant
F,oui,bac+2,Hauts-de-France,oui,oui,609,célibataire,3.0,1.0,2024-12-28,,723.68,500.0,jeune,surpoids
F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3332,célibataire,5.0,0.03,2021-08-28,660.0,,14791.054255033709,jeune,normal
H,non,doctorat,Normandie,non,oui,2204,,,0.81,2022-06-18,,5000.0,24690.30817151772,senior,obese
H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3099,divorcé,2.0,0.73,2021-03-04,,,14232.322333697375,adulte,obese
F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,1771,,0.0,0.09,2020-02-28,301.0,5000.0,500.0,senior,normal
F,non,master,Bretagne,non,oui,5431,veuf,,0.29,2022-01-22,505.0,5000.0,27702.156529405507,jeune,obese
H,non,doctorat,Île-de-France,non,oui,2979,veuf,4.0,0.56,2021-10-23,376.0,,30331.9324936551,retraite,normal
F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,3192,veuf,,0.35,2023-05-01,,621.78,500.0,senior,normal
F,non,bac+2,Bretagne,non,oui,3877,divorcé,4.0,0.69,2021-09-27,,780.64,26198.455079027182,senior,normal
H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,2128,célibataire,,0.18,2020-07-12,,,500.0,retraite,obese
H,oui,aucun,Île-de-France,non,oui,1772,divorcé,3.0,0.42,2022-02-20,,10000.0,12454.328982490384,jeune,normal
H,oui,bac,Île-de-France,non,non,5181,veuf,4.0,0.56,2021-05-08,,10000.0,14858.463980839962,retraite,normal
F,oui,bac+2,Normandie,oui,oui,3746,,,0.73,2021-04-28,,1002.34,16415.71124195981,retraite,surpoids
H,oui,master,Normandie,oui,oui,2952,célibataire,0.0,0.03,2021-09-15,630.0,1101.41,24462.730419394706,senior,insuffisant
H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,500,célibataire,3.0,0.38,2023-09-09,,672.52,500.0,senior,obese
F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,500,célibataire,2.0,0.2,2024-12-25,,921.64,500.0,jeune,surpoids
F,oui,doctorat,Normandie,non,oui,1863,marié,4.0,0.92,2024-02-13,,,14449.054890309168,adulte,insuffisant
F,oui,aucun,Bretagne,oui,oui,1363,marié,4.0,0.44,2020-11-24,,10000.0,500.0,senior,surpoids
F,oui,bac,Hauts-de-France,oui,non,3806,,,0.29,2020-04-09,,,500.0,retraite,surpoids
F,non,bac,Île-de-France,non,oui,951,célibataire,,0.35,2024-03-10,329.0,5000.0,500.0,retraite,normal
H,non,aucun,Normandie,non,non,500,,,0.26,2022-09-01,,10000.0,500.0,jeune,surpoids
H,non,master,Hauts-de-France,non,non,2612,célibataire,1.0,0.25,2021-08-12,,1616.31,500.0,retraite,surpoids
F,non,aucun,Occitanie,non,oui,936,,2.0,0.28,2023-01-30,,,500.0,retraite,normal
